FamilyMembers,TotalPower,Season,HouseType,Sqft,Units
8,14230,Rainy,Flat,7898,21291.76
6,11650,Summer,Flat,6672,12066.92
5,6540,Rainy,Flat,9028,17518.57
4,11000,Summer,House,5896,21571.28
4,5545,Summer,Flat,3864,4080.41
5,19400,Rainy,House,8411,50491.78
4,9340,Winter,House,4295,1956.02
5,17035,Summer,House,7502,21867.34
5,1920,Rainy,House,5324,2435.9
7,20220,Winter,House,4887,12659.84
3,12050,Winter,House,6640,25938.02
8,15870,Winter,Flat,6813,8456.89
4,34100,Winter,Flat,9521,34645.14
1,10780,Summer,Flat,7601,21331.84
4,16550,Rainy,Flat,6141,16652.5
4,12090,Rainy,Flat,4243,6049.0
4,10790,Rainy,Flat,7163,18859.01
3,7860,Winter,Flat,9850,9530.47
2,4845,Summer,Flat,3278,3544.57
2,12470,Summer,House,9275,10169.68
7,8550,Winter,Flat,1634,3263.97
2,2570,Rainy,House,3049,1714.23
8,10275,Winter,Flat,5464,2647.4
4,12350,Rainy,House,7578,24354.99
1,19840,Winter,House,4852,9972.57
2,14880,Summer,House,1670,6115.57
5,13110,Winter,Flat,449,818.42
7,10940,Winter,Flat,8619,11046.81
3,4730,Winter,Flat,8025,10298.87
2,7385,Rainy,Flat,6089,7958.39
7,21310,Winter,Flat,7658,33030.88
7,11720,Winter,Flat,4593,9591.34
5,505,Summer,House,9326,685.81
8,685,Summer,House,1736,602.41
3,7425,Summer,Flat,2579,3340.6
8,5855,Summer,Flat,3557,1857.09
5,14000,Summer,House,4239,12446.05
2,10255,Rainy,Flat,454,419.38
2,10610,Summer,House,2909,4846.29
3,11455,Winter,Flat,7854,15775.36
6,19400,Rainy,Flat,4089,8596.16
4,14470,Summer,Flat,2015,4541.35
6,16000,Rainy,House,9499,21979.99
3,4650,Winter,Flat,601,673.32
3,23645,Summer,Flat,5494,20557.18
4,12995,Rainy,Flat,1849,8042.5
2,2850,Summer,House,1256,1233.14
1,4950,Rainy,Flat,3492,4079.68
3,7780,Summer,Flat,8431,11859.82
1,13180,Summer,House,2993,5069.12
2,2185,Winter,Flat,1421,416.52
8,5450,Rainy,Flat,4585,6612.73
4,27020,Summer,Flat,7745,44042.61
5,4600,Rainy,Flat,6965,4831.32
6,2970,Rainy,House,4284,1734.6
1,7500,Winter,House,6714,13209.11
6,20545,Winter,Flat,3125,4969.4
4,7500,Summer,House,3616,8003.86
3,13650,Rainy,House,8051,28905.04
5,6765,Summer,Flat,6674,12461.23
8,3725,Winter,House,9527,5683.77
5,14410,Winter,House,1198,3694.39
4,3450,Winter,House,1124,568.26
4,12785,Winter,Flat,8174,20387.67
5,14960,Winter,Flat,9853,22343.76
7,8090,Summer,House,5645,6424.53
4,2050,Winter,House,5706,2340.61
6,11865,Summer,Flat,575,1357.29
8,8885,Summer,Flat,4573,6220.64
7,13350,Summer,House,4069,9547.76
2,5180,Rainy,Flat,5088,4018.51
8,15115,Rainy,House,9018,26031.47
7,1520,Summer,House,2341,516.65
7,6950,Rainy,Flat,3853,3614.57
6,9520,Winter,House,9241,15030.13
6,10445,Summer,House,6643,18307.49
5,10350,Rainy,House,6160,14209.7
7,20870,Winter,Flat,2143,5923.33
5,1530,Rainy,House,3470,704.94
2,7815,Winter,House,4429,4718.79
2,18610,Rainy,House,6558,29711.87
5,3250,Rainy,Flat,2361,1625.9
1,13585,Summer,House,697,3290.83
2,3845,Rainy,House,9824,9981.1
1,1935,Rainy,Flat,7724,1509.41
3,3860,Summer,House,8248,2581.43
8,6510,Summer,House,6413,12677.03
4,3275,Winter,House,6167,4128.4
4,15020,Winter,House,3111,7943.18
2,8925,Rainy,Flat,5965,14892.31
2,12370,Winter,Flat,2855,4189.35
4,16260,Winter,House,3094,4365.42
7,2590,Winter,Flat,7031,1814.46
1,9030,Summer,House,9674,25341.79
8,9200,Rainy,House,637,527.38
2,8030,Winter,House,5987,3789.96
3,11290,Winter,Flat,2855,4425.58
4,15630,Summer,Flat,7344,24049.32
4,19920,Summer,Flat,7637,22389.48
2,9935,Winter,Flat,4396,5792.76
4,1250,Summer,House,1768,560.53
5,3030,Rainy,House,2114,1094.22
5,8665,Winter,Flat,6742,6054.99
6,11650,Summer,House,5214,10327.73
6,9860,Winter,Flat,2724,3553.51
3,16285,Winter,House,1892,3475.14
6,9860,Summer,House,5089,16443.43
2,13750,Rainy,House,5688,20746.96
2,1710,Summer,Flat,4669,893.69
2,12640,Winter,House,2006,2470.03
1,13595,Rainy,Flat,4642,14051.45
1,17000,Winter,House,7561,31601.39
4,7980,Summer,House,5032,11713.6
5,21440,Rainy,Flat,2579,5177.46
4,9200,Winter,Flat,4521,8028.51
8,3515,Summer,House,2215,1373.15
1,7180,Winter,Flat,4877,6340.6
4,18885,Winter,Flat,9978,18745.39
8,16150,Summer,House,3873,28823.17
6,7625,Rainy,House,7971,13669.64
4,22515,Summer,Flat,2041,4336.13
5,16480,Winter,House,1757,4853.03
2,15510,Winter,House,5432,17383.5
8,15475,Winter,Flat,3499,11310.9
4,18210,Winter,Flat,2498,7392.62
1,18370,Winter,Flat,7172,16867.66
1,16735,Rainy,House,9437,39150.74
1,15830,Winter,House,5887,23815.3
7,2275,Summer,House,3801,2855.1
7,3895,Rainy,Flat,1811,1837.97
7,2680,Rainy,Flat,9833,3168.31
1,5115,Summer,House,2448,5472.5
6,23750,Summer,House,3595,21012.24
2,10410,Rainy,House,5674,14946.23
4,15565,Winter,Flat,3825,5897.06
1,6260,Rainy,House,3490,6745.09
4,675,Winter,Flat,9622,949.89
6,12315,Rainy,House,9895,20957.71
3,6950,Rainy,Flat,1168,1348.25
3,1920,Rainy,Flat,6863,1347.02
4,8140,Winter,Flat,1563,1376.67
2,8350,Summer,Flat,9325,18812.15
3,18600,Rainy,Flat,7062,21759.98
4,7860,Rainy,House,550,666.83
1,16060,Rainy,House,6202,14737.98
2,11250,Summer,Flat,7790,26576.89
7,14590,Rainy,House,8388,19801.32
2,1450,Winter,House,643,114.25
6,10515,Winter,Flat,7271,13998.45
1,12990,Summer,House,5864,19727.74
4,28300,Summer,Flat,9091,57600.29
8,22180,Summer,House,8276,31328.9
3,15015,Summer,Flat,2409,6322.54
2,15375,Summer,Flat,7922,15488.94
7,1085,Summer,House,672,208.24
3,355,Rainy,Flat,6622,282.5
3,22265,Rainy,House,7737,41694.6
6,19825,Summer,House,1534,8276.97
6,9600,Rainy,House,7853,7540.44
2,6100,Rainy,Flat,4888,1905.55
4,13785,Summer,House,8113,35922.01
8,4730,Winter,Flat,742,281.5
6,13545,Summer,Flat,960,1793.97
8,20140,Summer,House,7295,46712.84
2,10150,Rainy,House,8014,14163.49
5,6450,Summer,Flat,403,414.77
8,5740,Winter,House,8711,3418.47
3,15495,Rainy,Flat,9883,32125.66
4,14080,Summer,Flat,2373,4686.48
4,13310,Summer,House,1327,4532.32
2,7970,Rainy,House,7586,16167.4
4,15560,Summer,Flat,1574,3653.36
6,18870,Rainy,House,9764,27860.12
5,7360,Winter,Flat,9620,10345.44
8,1190,Rainy,Flat,4115,534.74
3,8190,Rainy,House,1626,2314.18
8,15295,Rainy,House,4766,24282.97
4,630,Summer,House,9459,1597.79
1,11040,Summer,House,4619,9556.9
6,7500,Summer,Flat,8957,9512.43
2,24930,Rainy,Flat,6161,19263.21
6,12860,Summer,Flat,1861,4062.8
5,20450,Summer,Flat,7917,39381.98
4,13615,Rainy,Flat,5460,10694.02
5,8380,Winter,Flat,8673,9236.25
5,8340,Summer,House,1373,1946.04
7,5645,Rainy,House,6546,4979.61
7,5400,Rainy,House,4113,4509.35
1,8060,Summer,Flat,8403,14209.82
5,2960,Summer,Flat,1219,1017.8
8,18480,Rainy,House,2309,12699.99
5,7680,Rainy,Flat,9148,10425.75
4,18120,Winter,House,7826,16070.44
7,21440,Winter,Flat,6898,12912.79
8,8070,Rainy,Flat,8533,14237.1
6,1135,Winter,House,1003,284.01
3,22185,Winter,Flat,3835,9634.8
4,6875,Winter,House,6599,9017.94
1,7950,Summer,Flat,1787,1294.39
1,11635,Winter,Flat,2165,3397.2
4,2445,Rainy,House,2371,525.23
7,24810,Winter,Flat,7251,32742.7
3,10580,Rainy,House,2092,3698.0
2,14665,Winter,Flat,888,1174.11
2,26715,Winter,House,4567,23167.01
4,3180,Winter,Flat,2551,1537.85
4,5120,Winter,House,5666,4562.02
2,2790,Winter,Flat,3763,856.21
6,8100,Winter,Flat,5879,6277.3
1,1680,Rainy,House,6121,3309.18
3,16830,Summer,House,2901,15224.03
3,9330,Summer,Flat,4214,6123.36
6,16400,Winter,House,3712,10586.76
6,1530,Winter,Flat,695,189.0
5,11070,Winter,Flat,1254,1593.1
8,13520,Winter,House,9659,35828.0
7,19350,Summer,House,3864,8299.11
3,3295,Winter,House,5387,2303.67
6,19870,Rainy,House,5346,36182.09
4,3360,Winter,House,7037,4565.73
8,2530,Summer,Flat,3645,2058.01
6,8765,Winter,House,4006,6114.27
1,14265,Rainy,House,1694,4826.67
7,5280,Summer,Flat,7767,7404.67
7,10360,Summer,House,1375,5372.45
5,5980,Summer,Flat,6394,6107.79
6,15550,Rainy,House,8766,34116.87
6,10800,Winter,Flat,1260,1920.54
6,24580,Rainy,House,436,3098.84
7,15850,Summer,Flat,6455,24359.33
8,18250,Rainy,Flat,2469,12580.1
7,7640,Rainy,House,5357,5204.03
2,26055,Summer,House,2345,14453.15
1,17120,Summer,Flat,1524,2436.93
5,8635,Summer,Flat,4667,5564.54
3,5415,Rainy,House,573,765.5
5,9035,Winter,Flat,4598,8814.27
8,1710,Rainy,Flat,9555,4955.49
7,12750,Winter,House,2836,5496.08
7,5795,Summer,Flat,9530,15178.6
2,8155,Winter,Flat,7467,9872.26
8,11130,Winter,Flat,2575,1945.47
3,6960,Rainy,Flat,1838,2590.85
6,15200,Winter,Flat,7975,28679.51
8,13115,Rainy,Flat,1738,3502.77
1,8895,Rainy,House,5601,10476.25
7,4020,Winter,Flat,9975,5841.7
6,8220,Winter,House,9389,12207.93
5,5605,Summer,House,4527,5053.34
5,7155,Winter,House,6193,7061.78
6,8085,Winter,Flat,8340,10912.14
6,1145,Rainy,Flat,8362,587.51
1,12490,Winter,House,7073,11630.91
8,23150,Rainy,House,455,2702.1
5,15320,Winter,House,5594,13245.47
8,4680,Rainy,Flat,7110,8711.35
1,4320,Rainy,House,8547,8053.62
1,7560,Winter,Flat,3838,2949.86
6,22330,Winter,House,5282,15756.71
4,1980,Winter,Flat,8060,1964.11
7,1470,Summer,House,6048,1818.93
5,14040,Rainy,Flat,3377,4499.77
3,16800,Summer,Flat,6944,23550.86
8,10490,Rainy,House,558,2046.93
3,13110,Winter,House,2926,4378.15
3,5440,Rainy,Flat,4582,4243.89
7,8570,Summer,Flat,7864,10169.27
3,8095,Rainy,House,8143,13908.13
2,14560,Summer,House,5237,24596.15
1,5650,Rainy,House,7444,11057.25
3,10990,Rainy,Flat,8995,12515.64
6,19535,Summer,Flat,423,1617.02
1,18895,Winter,Flat,4169,9867.79
1,3370,Summer,Flat,4494,4103.68
3,21310,Summer,Flat,8103,26451.55
1,7260,Winter,Flat,4732,8772.55
5,6315,Rainy,House,9602,10936.67
3,11210,Rainy,House,451,1031.51
6,10745,Rainy,House,4741,2692.89
3,9030,Winter,House,1481,2372.3
2,1100,Winter,House,7001,1209.98
5,14815,Summer,Flat,3078,10944.91
2,13610,Rainy,House,8547,28208.97
2,4505,Rainy,Flat,6739,2504.45
6,18620,Summer,Flat,4226,18518.72
1,10260,Winter,Flat,2391,3915.93
2,17380,Summer,House,4064,29221.97
7,8140,Summer,House,6509,12461.89
4,6740,Rainy,Flat,3203,2123.32
5,7785,Winter,House,7492,12444.37
8,10010,Winter,Flat,5631,5599.3
7,1120,Winter,Flat,7997,1551.46
3,5860,Summer,House,7871,6423.34
3,7000,Rainy,House,7613,5314.75
8,9480,Winter,House,7621,13646.97
7,14500,Summer,Flat,4894,17429.0
8,11345,Winter,House,2563,2725.33
4,20710,Rainy,Flat,3364,14439.26
5,5345,Winter,House,899,1143.04
1,13360,Winter,Flat,6137,7259.21
6,11205,Rainy,House,2351,2531.84
3,15720,Summer,House,9858,50095.27
7,14660,Rainy,House,1032,3046.05
8,325,Rainy,House,9213,758.87
3,10840,Winter,Flat,6155,8376.23
1,9530,Rainy,House,2133,5289.48
3,10640,Summer,Flat,5301,10949.2
8,10460,Summer,House,7936,10468.14
8,9600,Rainy,House,8323,16806.99
2,20840,Summer,House,8326,55367.9
4,8690,Winter,Flat,2195,3053.96
1,36650,Summer,House,9646,104039.0
8,2185,Rainy,Flat,7063,3233.73
5,16000,Summer,House,7247,33598.84
6,7470,Summer,House,9178,18178.79
4,16260,Rainy,House,3655,11130.99
2,1840,Rainy,House,8194,6993.43
8,13470,Summer,Flat,5083,16223.18
2,8390,Rainy,Flat,9580,11719.52
7,14355,Winter,Flat,8364,4931.11
8,3440,Rainy,House,4585,859.17
6,8830,Winter,Flat,2244,2970.69
7,18120,Summer,House,8772,38980.26
3,6560,Rainy,House,5834,5133.69
4,3430,Summer,Flat,4430,3155.86
3,15590,Winter,House,7806,18669.67
5,6875,Rainy,Flat,8805,14383.99
8,14330,Summer,House,1497,2344.45
2,9120,Winter,House,8044,19085.87
4,23080,Winter,Flat,8383,32009.36
6,10200,Winter,Flat,882,1495.01
3,27080,Summer,Flat,7966,46442.33
4,11565,Rainy,House,6922,14621.72
1,19250,Summer,House,845,2571.62
1,16585,Winter,House,6867,17412.52
8,18240,Summer,House,6094,37671.15
4,10210,Winter,Flat,6884,11733.25
5,17320,Rainy,House,8688,41128.73
2,9110,Rainy,Flat,7301,14179.95
3,4320,Winter,Flat,3638,1483.89
5,11730,Winter,Flat,8375,10251.0
3,13820,Winter,House,8522,19305.23
2,400,Summer,House,8251,1099.58
8,6460,Summer,Flat,4029,11310.45
2,21605,Rainy,House,6000,22145.99
1,15690,Winter,House,1744,9032.81
5,4340,Winter,Flat,9102,4543.31
6,13250,Rainy,Flat,1567,2152.18
4,19255,Rainy,Flat,5641,12402.47
6,11920,Winter,House,6218,12743.63
5,15270,Rainy,Flat,3055,6519.31
8,10500,Winter,House,7238,19351.18
4,9260,Summer,Flat,3723,5831.01
2,22555,Winter,Flat,3623,11187.01
8,5870,Rainy,Flat,3829,6022.26
2,6025,Rainy,House,6456,9026.37
3,2770,Winter,House,7919,4745.18
3,19240,Rainy,House,525,2559.96
7,18700,Rainy,House,8617,41320.92
7,16110,Winter,Flat,6020,14178.32
3,12720,Summer,Flat,7074,26280.82
6,3005,Rainy,House,5150,4823.12
2,1795,Rainy,Flat,1347,96.52
6,13665,Rainy,House,3957,13408.8
3,8320,Summer,Flat,3586,6948.04
1,8100,Winter,House,1321,1699.94
5,6690,Winter,House,3211,3583.78
7,5705,Winter,Flat,3119,2871.04
2,8580,Rainy,Flat,5296,4676.89
7,9100,Winter,House,9158,8662.05
8,15545,Rainy,Flat,5017,13523.4
4,31445,Winter,House,1342,6355.54
4,8545,Summer,House,2882,6973.49
6,6380,Winter,Flat,7301,6506.85
2,16620,Rainy,House,6959,19380.81
7,10275,Winter,House,6750,14602.79
1,9040,Winter,Flat,627,798.49
1,1450,Winter,House,8176,2499.58
3,20610,Rainy,Flat,722,2416.66
6,5370,Rainy,Flat,3534,5580.79
7,7830,Rainy,Flat,3466,6744.82
4,18115,Rainy,House,8813,46831.01
4,7940,Winter,House,3474,6515.51
3,26000,Summer,Flat,9237,35404.33
3,7100,Summer,Flat,4062,7738.44
3,14215,Rainy,House,3393,3885.65
6,14710,Summer,Flat,9667,23333.56
1,14950,Rainy,House,2057,4107.84
4,18840,Rainy,Flat,2073,3134.59
2,18170,Summer,Flat,1872,6342.41
5,13020,Winter,House,9298,21956.11
6,16000,Winter,Flat,6533,20473.7
4,11770,Rainy,Flat,4172,9052.99
6,15590,Rainy,House,2926,8101.98
4,11580,Winter,House,9573,20847.92
3,975,Winter,Flat,2590,370.66
8,11545,Winter,Flat,9206,15958.39
3,7960,Winter,House,9184,11684.85
1,4530,Winter,Flat,9012,7344.24
8,20045,Summer,Flat,3067,7466.72
8,16990,Rainy,House,940,4140.05
8,4700,Rainy,House,2504,3908.58
6,7130,Winter,Flat,8989,8341.28
8,8400,Winter,Flat,9396,11489.98
3,8530,Rainy,Flat,2835,2470.11
5,4890,Winter,House,2227,1343.69
2,1140,Summer,House,5621,1280.65
4,8780,Winter,House,4564,6355.09
8,11425,Rainy,Flat,9214,16088.87
7,3280,Rainy,House,7590,7189.21
8,5600,Winter,Flat,7692,2913.73
4,4210,Winter,House,410,147.16
1,15000,Summer,House,8284,30453.96
7,7930,Winter,Flat,9336,12519.99
5,1860,Winter,Flat,1464,158.1
1,6380,Rainy,Flat,8617,5323.69
6,15495,Rainy,Flat,1087,2207.28
6,4220,Winter,Flat,6223,5730.56
3,11175,Winter,Flat,6780,8372.33
1,20600,Summer,House,3916,24133.93
4,9015,Summer,Flat,9380,15205.82
3,2990,Rainy,Flat,1722,777.26
6,6070,Rainy,House,9721,13939.21
7,12040,Rainy,House,3675,11302.19
2,12255,Winter,Flat,6019,13438.57
6,7740,Winter,House,4928,4399.48
4,16230,Winter,House,8794,28948.79
5,4560,Winter,Flat,7860,4651.97
1,6660,Winter,House,4743,4631.74
3,16100,Winter,Flat,5311,19187.46
4,5610,Rainy,House,4125,3789.81
2,2315,Summer,Flat,4562,1424.96
1,15260,Summer,House,2637,8667.83
5,12550,Winter,Flat,3007,7934.64
5,10020,Winter,House,5032,14216.27
5,25740,Winter,House,5138,25721.55
6,33300,Summer,House,2618,21757.15
8,11845,Summer,House,3697,9434.34
6,7250,Winter,House,9091,16028.94
4,5340,Winter,House,1923,1565.2
2,11505,Rainy,House,9182,20577.92
5,11850,Winter,House,5863,19210.45
8,11360,Rainy,Flat,2341,2994.57
2,1740,Summer,House,9325,6023.37
6,8450,Summer,House,6195,24911.06
4,15800,Winter,Flat,8722,18535.37
5,2055,Rainy,Flat,4415,1497.46
7,9160,Summer,Flat,6978,10025.59
8,4360,Winter,Flat,6842,3069.82
6,9070,Winter,House,5213,4933.06
3,17055,Summer,House,2053,7351.55
