FamilyMembers,HouseType,Sqft,Season,Units
5,House,687,Rainy,1844.92
6,Flat,1829,Winter,610.46
5,House,526,Winter,828.76
2,House,823,Rainy,693.16
6,House,878,Summer,5120.48
5,House,1444,Winter,1466.62
5,House,1870,Summer,1170.45
5,Flat,1055,Summer,3841.86
2,Flat,1600,Winter,1926.53
3,House,1763,Summer,224.09
3,House,2473,Winter,1029.24
3,House,509,Rainy,3006.54
5,Flat,1822,Summer,883.77
6,House,2061,Summer,4221.42
2,House,1155,Winter,1805.03
2,Flat,1238,Rainy,1669.77
5,Flat,2254,Rainy,1459.44
2,House,319,Winter,2114.47
4,House,2073,Winter,1194.24
5,House,905,Rainy,624.13
3,Flat,1545,Rainy,662.81
4,Flat,1745,Summer,1276.43
2,Flat,2088,Summer,516.25
1,Flat,1033,Rainy,2711.47
6,Flat,498,Summer,5298.89
4,House,2437,Summer,4777.92
2,House,1852,Rainy,151.66
6,House,1987,Rainy,272.32
3,Flat,1486,Summer,4101.71
4,Flat,863,Summer,4681.43
6,Flat,659,Winter,1964.64
6,House,1475,Winter,245.25
2,House,1306,Winter,1365.08
2,Flat,683,Summer,2507.76
3,Flat,1573,Summer,472.41
3,House,2472,Winter,452.45
5,House,2314,Summer,4625.61
5,Flat,1763,Summer,3539.16
5,Flat,1639,Winter,1756.61
4,Flat,2335,Winter,513.27
2,Flat,1772,Winter,3158.79
2,Flat,1920,Summer,2272.83
1,House,1869,Rainy,1375.68
5,Flat,1828,Rainy,7945.81
4,Flat,2262,Winter,1175.28
6,House,1493,Summer,5719.73
1,Flat,646,Summer,1079.19
6,Flat,1870,Rainy,2592.7
5,Flat,1754,Summer,962.96
1,House,677,Rainy,4358.89
4,House,1957,Summer,2012.28
1,Flat,2317,Summer,2675.04
4,Flat,1168,Summer,1641.06
2,House,1172,Summer,2854.77
2,Flat,2330,Rainy,2850.89
3,House,1387,Summer,4984.18
1,Flat,990,Winter,4234.63
3,House,1114,Rainy,4027.3
4,House,902,Summer,692.89
4,House,759,Rainy,635.8
4,Flat,327,Rainy,3826.65
3,Flat,1440,Summer,1886.79
1,Flat,304,Winter,2044.92
2,Flat,555,Rainy,852.95
6,Flat,993,Summer,463.01
4,Flat,1633,Winter,788.96
4,House,603,Rainy,2702.47
4,Flat,2024,Summer,2011.07
2,Flat,2066,Winter,544.42
2,Flat,942,Winter,835.83
6,House,606,Summer,10476.98
6,Flat,1011,Winter,2447.21
2,Flat,373,Winter,430.74
5,House,1616,Summer,2311.32
6,Flat,1165,Summer,2081.92
2,House,536,Rainy,2825.35
4,Flat,2085,Rainy,151.12
4,Flat,972,Summer,2059.71
1,House,864,Winter,727.2
4,House,1684,Rainy,2049.87
3,Flat,2228,Rainy,313.11
1,Flat,658,Winter,1111.46
1,House,592,Rainy,1261.51
6,Flat,1259,Rainy,118.57
6,Flat,1723,Rainy,4037.93
1,Flat,1676,Summer,3438.29
3,House,810,Rainy,2680.22
6,Flat,2105,Winter,274.28
3,Flat,343,Rainy,2388.82
2,House,1226,Summer,1531.52
6,House,1915,Summer,4614.73
4,House,424,Winter,1954.55
4,House,1917,Summer,8971.26
5,House,2102,Summer,1318.62
6,Flat,2493,Rainy,5526.54
3,Flat,2488,Winter,312.16
2,House,1850,Summer,280.94
3,House,1583,Rainy,1620.77
5,House,2186,Summer,640.79
4,Flat,1936,Rainy,693.19
4,Flat,2015,Summer,4742.16
4,Flat,548,Summer,2481.74
3,House,380,Rainy,3549.76
3,Flat,320,Winter,479.14
4,House,1392,Summer,3645.73
5,House,2306,Rainy,1866.58
1,House,528,Summer,3464.26
4,Flat,1645,Summer,2136.58
4,Flat,1118,Rainy,1796.07
1,Flat,566,Summer,5950.12
4,House,1300,Rainy,938.81
4,Flat,630,Winter,689.98
2,Flat,383,Winter,1118.88
1,House,475,Summer,450.7
5,Flat,817,Winter,1563.51
6,Flat,1205,Winter,5763.09
5,House,1398,Winter,738.94
6,Flat,1202,Rainy,1374.6
6,Flat,324,Rainy,913.08
6,House,2041,Winter,2642.9
1,House,573,Winter,235.12
1,Flat,1699,Summer,419.81
1,Flat,1586,Summer,4332.65
3,Flat,1154,Rainy,117.64
2,Flat,304,Winter,1956.17
1,House,1694,Rainy,6961.05
6,House,1321,Winter,2185.91
5,Flat,2215,Summer,6161.67
3,Flat,996,Summer,183.21
1,Flat,1613,Rainy,1226.36
1,Flat,1551,Summer,2157.83
3,Flat,1027,Rainy,168.12
6,House,605,Winter,1110.74
4,Flat,2456,Summer,4707.78
4,House,757,Winter,2300.76
4,House,923,Winter,1301.28
4,Flat,434,Rainy,2174.55
1,House,2492,Rainy,146.84
1,House,1219,Summer,3171.11
4,Flat,2265,Rainy,242.35
5,House,1997,Summer,2417.01
1,Flat,2135,Rainy,1197.49
2,House,687,Rainy,1756.46
6,House,401,Winter,2495.13
1,House,918,Summer,5432.89
5,House,1294,Winter,941.72
5,Flat,785,Winter,5646.78
1,House,2466,Winter,2344.28
5,Flat,597,Rainy,1971.29
5,Flat,1561,Rainy,1263.73
2,House,498,Rainy,978.18
5,Flat,946,Summer,8001.64
4,House,600,Rainy,3646.68
3,House,609,Rainy,1595.8
2,Flat,553,Rainy,2547.92
5,Flat,2320,Rainy,3788.09
1,House,1104,Winter,1033.65
5,House,1494,Winter,399.79
3,House,1938,Winter,653.64
1,House,654,Winter,3940.46
5,House,727,Rainy,2760.92
5,House,381,Winter,3383.9
5,Flat,516,Winter,475.07
4,Flat,1160,Winter,1393.46
1,House,2004,Winter,986.41
6,House,1654,Summer,2935.05
4,Flat,1942,Winter,516.03
6,House,914,Winter,4301.73
4,House,1544,Rainy,1074.18
5,House,584,Summer,7440.23
3,Flat,2025,Summer,1753.33
6,Flat,1389,Winter,550.88
4,Flat,714,Winter,1003.31
1,House,1545,Rainy,92.2
4,Flat,1707,Summer,2568.32
3,Flat,1434,Winter,5860.6
3,Flat,1232,Rainy,1183.63
4,House,1320,Rainy,214.41
5,House,2278,Winter,1373.12
5,House,2455,Winter,4354.97
5,Flat,2179,Summer,298.04
4,House,497,Rainy,2039.76
1,House,2452,Rainy,649.55
1,House,2114,Rainy,4422.97
1,House,1941,Rainy,1653.49
2,Flat,888,Summer,3698.38
4,House,1151,Summer,2021.04
2,House,1896,Rainy,150.23
3,Flat,2072,Rainy,1026.2
1,Flat,655,Rainy,3569.33
3,House,1557,Summer,5685.12
5,Flat,2470,Rainy,6702.2
6,Flat,1393,Summer,939.38
3,Flat,2005,Winter,1354.3
6,Flat,1868,Rainy,12428.92
3,Flat,1389,Rainy,731.16
3,Flat,2021,Summer,947.22
4,House,804,Rainy,6485.06
2,House,1343,Winter,968.09
2,Flat,2131,Summer,1653.68
3,House,2283,Rainy,1036.79
3,House,512,Summer,1874.11
2,House,2047,Rainy,2121.58
3,Flat,2267,Summer,6217.61
3,House,1127,Winter,2599.3
1,Flat,1817,Winter,2240.39
6,House,1533,Winter,295.75
1,House,1910,Summer,3063.39
5,Flat,2178,Rainy,2430.81
4,Flat,2261,Summer,1874.17
3,Flat,1837,Winter,3923.52
2,Flat,980,Rainy,2050.72
4,Flat,1652,Summer,7714.45
6,House,1788,Rainy,2883.6
1,House,703,Summer,1795.02
5,Flat,1890,Rainy,3177.31
4,Flat,1490,Rainy,2680.14
5,House,590,Winter,1596.1
3,House,790,Rainy,219.9
4,Flat,722,Summer,5955.17
3,Flat,509,Rainy,112.03
2,Flat,1258,Summer,4323.51
4,Flat,1366,Rainy,4194.35
3,Flat,475,Winter,733.22
5,Flat,1052,Summer,156.48
2,House,1646,Rainy,282.12
6,Flat,1282,Winter,659.26
4,House,810,Rainy,7593.32
6,House,653,Summer,4047.35
2,House,1104,Summer,7320.65
4,House,676,Rainy,1762.83
2,Flat,2042,Winter,3341.22
6,Flat,929,Rainy,921.71
3,House,1494,Winter,1935.66
4,House,1136,Winter,398.47
6,Flat,2092,Winter,75.37
6,House,1763,Summer,3549.44
2,House,2166,Rainy,1093.38
2,House,2188,Summer,2156.57
3,Flat,2110,Winter,3089.42
4,Flat,2499,Rainy,3244.25
4,House,1719,Summer,4231.9
2,Flat,2079,Summer,2687.6
6,House,925,Winter,2746.05
2,Flat,858,Rainy,4993.26
6,House,823,Summer,2499.15
4,Flat,593,Summer,7981.3
6,Flat,1797,Rainy,2853.66
1,House,521,Summer,3913.94
1,Flat,542,Rainy,320.28
6,Flat,1181,Winter,1584.54
6,House,731,Winter,4066.15
4,Flat,760,Summer,2320.49
4,House,1000,Summer,6160.96
5,House,2075,Summer,575.55
3,House,794,Summer,156.63
6,Flat,1051,Winter,1721.17
2,House,2345,Summer,3324.62
2,House,1631,Rainy,4214.06
4,House,1513,Rainy,1759.38
3,House,1167,Summer,10860.27
6,Flat,1058,Rainy,696.41
4,Flat,2078,Summer,3415.87
4,House,731,Rainy,4960.23
1,Flat,531,Summer,845.1
6,Flat,1197,Rainy,302.61
3,House,2123,Winter,3600.03
4,Flat,1878,Rainy,2062.66
2,House,2237,Summer,10971.72
6,Flat,2146,Winter,2411.73
5,House,1748,Summer,1488.42
5,House,680,Rainy,2267.12
2,Flat,2080,Rainy,967.18
3,Flat,1997,Summer,5003.58
2,House,1872,Summer,252.31
6,House,2451,Rainy,2766.25
3,Flat,1944,Summer,338.2
5,House,806,Summer,1419.71
5,House,1796,Winter,1256.7
5,House,1069,Rainy,222.88
3,Flat,942,Summer,2313.96
5,Flat,831,Winter,2602.71
1,House,459,Rainy,3117.47
2,Flat,2332,Summer,1487.3
6,Flat,2059,Rainy,4223.18
2,Flat,786,Winter,2898.67
5,House,817,Rainy,1263.17
1,House,847,Summer,1743.83
1,House,1353,Rainy,1616.36
1,Flat,1350,Rainy,1490.32
6,House,971,Winter,2780.68
6,Flat,2351,Rainy,932.45
2,House,2245,Rainy,2217.4
1,House,447,Winter,2772.67
4,Flat,2205,Winter,1783.34
4,House,775,Winter,1834.01
3,House,885,Summer,1318.02
4,House,1440,Winter,3010.73
2,Flat,1681,Summer,956.72
4,Flat,356,Summer,275.57
3,House,2466,Rainy,3879.87
4,House,1614,Winter,60.65
4,Flat,1733,Winter,3174.9
3,House,1175,Summer,751.69
1,Flat,1520,Winter,976.74
6,House,319,Rainy,7118.09
3,House,2176,Rainy,1699.52
3,Flat,1347,Winter,4377.82
5,House,827,Summer,158.6
3,House,925,Summer,1017.66
6,House,1241,Summer,1530.41
3,House,2105,Rainy,4312.72
4,Flat,1679,Winter,2557.62
1,House,2095,Winter,1071.53
2,House,1848,Winter,387.66
2,House,1742,Rainy,896.39
2,Flat,2434,Rainy,1745.57
6,House,408,Summer,8165.49
3,Flat,1779,Summer,475.53
4,House,784,Winter,1141.88
2,House,913,Summer,2577.87
2,House,1077,Summer,358.67
1,House,1057,Winter,1048.89
3,Flat,1515,Summer,1704.03
1,House,1946,Winter,827.01
5,Flat,1302,Summer,1558.29
5,House,654,Winter,477.94
5,Flat,1518,Summer,304.37
5,House,2315,Summer,6893.33
5,House,1448,Rainy,3500.46
6,Flat,1894,Rainy,1484.16
1,House,2349,Summer,2685.05
2,House,401,Winter,987.49
4,House,811,Winter,6561.65
1,House,1033,Winter,1143.13
6,House,1413,Summer,2420.55
2,House,1837,Rainy,963.65
3,Flat,503,Rainy,9569.82
4,House,1342,Rainy,8279.0
6,Flat,1173,Rainy,1763.17
1,House,708,Rainy,455.63
6,House,1586,Summer,665.78
6,Flat,1323,Winter,297.79
2,Flat,1410,Rainy,1914.04
4,House,505,Winter,4858.2
5,House,1233,Winter,2793.17
2,Flat,523,Summer,11635.33
6,House,2215,Winter,356.77
5,Flat,2122,Winter,4579.57
4,House,1944,Summer,150.58
1,House,2138,Summer,1747.93
1,Flat,1191,Winter,150.87
2,House,575,Rainy,2985.48
3,Flat,2349,Summer,5414.66
6,House,323,Summer,1654.45
3,House,2288,Winter,635.27
4,Flat,1987,Winter,386.42
3,Flat,1794,Rainy,1563.69
5,Flat,1644,Winter,1884.0
5,Flat,320,Rainy,3667.36
1,Flat,2108,Winter,111.03
4,House,1725,Winter,676.09
2,Flat,637,Summer,2992.6
6,Flat,467,Winter,770.47
4,Flat,769,Winter,3686.65
3,Flat,850,Winter,1449.33
1,Flat,924,Winter,1102.76
6,House,2104,Winter,6805.73
4,Flat,1147,Winter,383.25
4,House,1008,Winter,5617.9
3,House,1849,Rainy,5429.45
5,House,1767,Winter,601.4
5,House,950,Summer,4130.67
5,House,1282,Winter,2253.57
1,Flat,1614,Summer,6603.01
6,House,2238,Rainy,879.86
3,Flat,1907,Winter,3139.19
5,House,1087,Rainy,2699.98
4,House,1722,Rainy,3019.63
1,House,1373,Summer,4187.41
2,Flat,1665,Summer,3742.93
1,Flat,2413,Summer,4883.24
1,House,2440,Rainy,1348.05
3,House,707,Summer,3599.54
2,House,1218,Winter,683.43
1,House,1319,Winter,194.46
5,House,2118,Summer,209.21
1,Flat,1751,Winter,244.07
5,Flat,470,Summer,1553.52
5,Flat,928,Rainy,691.68
4,Flat,2431,Rainy,2207.94
1,Flat,1101,Summer,4699.15
3,Flat,2110,Summer,1693.36
1,Flat,948,Summer,3371.25
5,House,2387,Rainy,3674.17
4,Flat,691,Rainy,1202.91
6,Flat,2227,Summer,1970.53
1,House,1637,Summer,5488.15
5,House,1533,Rainy,541.36
3,Flat,2045,Winter,4465.93
5,Flat,1859,Summer,3948.8
1,Flat,669,Summer,2066.86
5,Flat,399,Winter,935.31
3,Flat,697,Rainy,1524.47
2,Flat,1497,Summer,761.87
5,House,1115,Winter,2615.13
2,Flat,2192,Winter,381.31
6,Flat,2045,Rainy,2435.83
3,House,2108,Winter,506.98
1,House,965,Summer,660.63
3,Flat,1997,Rainy,2353.48
1,Flat,568,Summer,2011.16
3,Flat,2409,Summer,5560.2
3,Flat,1574,Winter,273.61
3,House,929,Rainy,1471.54
1,Flat,2307,Winter,4156.55
6,House,2386,Winter,2124.03
1,House,2308,Summer,1042.87
6,House,1596,Winter,4729.13
2,Flat,2259,Winter,1575.64
1,Flat,2473,Winter,684.74
1,House,2146,Winter,2437.9
1,Flat,2024,Rainy,2337.41
5,Flat,1774,Winter,7154.57
1,Flat,1483,Winter,2220.29
4,House,554,Rainy,4060.34
5,Flat,1861,Rainy,5609.82
2,House,2430,Rainy,5571.96
6,House,447,Rainy,987.21
6,House,1255,Summer,4157.66
2,House,1344,Summer,2896.41
4,Flat,1841,Summer,3285.99
6,Flat,846,Summer,1424.83
1,Flat,1708,Summer,5464.98
5,House,1852,Summer,4282.96
4,House,2076,Summer,11047.93
1,Flat,1586,Rainy,2647.03
2,Flat,2007,Rainy,2147.92
2,Flat,2090,Rainy,5162.1
2,House,1667,Rainy,935.03
1,Flat,1794,Winter,1040.69
2,Flat,2311,Winter,1850.34
3,Flat,652,Rainy,6479.41
2,House,1288,Rainy,868.16
4,Flat,1694,Winter,4794.37
1,House,1883,Winter,1028.2
3,House,306,Summer,389.57
4,Flat,677,Summer,3240.22
4,House,1434,Winter,395.66
4,House,1210,Rainy,4028.74
6,House,1294,Rainy,1293.05
1,Flat,1944,Rainy,322.71
5,House,1289,Rainy,1305.33
3,Flat,1692,Winter,248.62
2,House,568,Winter,801.88
5,House,477,Rainy,4449.34
6,Flat,733,Summer,8497.83
4,House,2086,Summer,1784.91
3,Flat,2047,Summer,486.39
2,Flat,1296,Winter,3394.55
4,House,651,Summer,202.92
5,Flat,1694,Winter,3580.12
4,Flat,772,Winter,1414.86
4,House,542,Rainy,3746.75
1,House,684,Winter,853.78
3,Flat,1502,Winter,5317.51
2,Flat,1577,Winter,2938.69
3,House,586,Rainy,790.2
2,House,978,Rainy,3864.27
1,House,1959,Rainy,1361.02
5,Flat,927,Rainy,4294.81
4,House,1466,Winter,3298.18
3,House,1871,Winter,4149.19
4,House,699,Summer,698.82
6,House,711,Winter,430.0
5,Flat,2308,Winter,452.27
2,Flat,343,Winter,711.66
5,Flat,1492,Rainy,3661.74
2,Flat,576,Winter,265.59
1,Flat,1993,Rainy,3610.97
4,Flat,1401,Winter,1730.81
2,Flat,2481,Winter,181.91
6,Flat,1862,Winter,575.72
5,House,642,Winter,175.73
1,Flat,1403,Summer,1524.4
5,House,347,Summer,2270.59
6,House,987,Summer,7584.07
4,Flat,2210,Winter,3006.45
4,House,1544,Summer,5078.92
6,House,1887,Winter,811.83
6,House,1238,Winter,3139.27
2,Flat,764,Rainy,4760.19
6,House,1288,Winter,782.5
6,House,2167,Winter,1240.69
3,Flat,665,Winter,726.97
6,Flat,736,Rainy,931.01
4,House,1441,Summer,2309.0
3,House,788,Winter,3433.12
4,House,388,Summer,187.84
3,House,1119,Winter,831.77
5,Flat,528,Rainy,2963.39
4,House,481,Summer,195.68
3,House,389,Summer,3559.56
5,Flat,2055,Summer,1028.77
5,Flat,2010,Rainy,3921.2
4,House,1156,Winter,448.8
3,Flat,568,Rainy,3765.83
6,House,589,Summer,10737.27
1,Flat,1010,Winter,2628.06
5,House,563,Winter,320.92
1,House,827,Rainy,1644.41
1,House,2149,Summer,413.19
6,Flat,1901,Winter,827.73
6,House,1635,Winter,6740.68
2,Flat,1216,Winter,1879.14
1,House,497,Rainy,981.99
1,Flat,1280,Rainy,1434.11
5,Flat,691,Summer,2142.61
1,House,1715,Rainy,2109.44
5,House,1098,Rainy,4608.82
1,Flat,1713,Winter,3571.93
1,Flat,1663,Rainy,1070.66
5,House,782,Rainy,2203.29
1,Flat,2257,Rainy,389.79
5,Flat,1219,Summer,453.6
6,Flat,340,Rainy,3784.06
6,House,903,Rainy,4457.21
1,House,1071,Rainy,4270.49
2,Flat,1344,Rainy,2198.7
2,Flat,2377,Rainy,835.54
4,House,1206,Summer,1595.45
1,Flat,2406,Summer,2060.07
5,House,960,Winter,1896.83
1,Flat,2315,Rainy,1289.24
2,Flat,861,Winter,2205.49
2,House,2265,Rainy,843.89
4,Flat,1784,Rainy,270.18
5,House,1201,Summer,421.19
3,Flat,888,Winter,601.5
1,House,1312,Rainy,2139.26
4,House,861,Summer,1369.55
4,House,661,Winter,1348.75
3,Flat,987,Winter,2294.53
1,Flat,835,Winter,164.49
1,House,1774,Winter,2119.65
5,Flat,1811,Winter,3068.9
5,House,1693,Winter,686.39
3,Flat,1966,Summer,746.87
1,Flat,1801,Winter,1773.94
1,Flat,462,Rainy,2631.49
1,Flat,1216,Summer,3334.26
4,House,2299,Summer,250.85
5,House,587,Rainy,2865.38
1,House,884,Rainy,2323.33
6,Flat,1801,Winter,2083.12
1,Flat,1155,Winter,22.85
3,Flat,1867,Summer,877.83
2,House,426,Summer,320.32
6,House,1217,Winter,480.08
3,House,2256,Winter,596.41
5,Flat,1922,Winter,307.39
3,Flat,2479,Summer,559.16
6,House,1815,Rainy,175.6
1,House,2106,Winter,609.2
6,Flat,1718,Winter,2931.87
5,Flat,1230,Summer,1331.19
2,House,1562,Summer,4739.41
6,House,1482,Winter,1792.14
3,House,793,Winter,845.59
2,House,333,Rainy,3656.37
6,House,1236,Summer,7362.39
6,House,1677,Winter,1831.52
4,Flat,860,Summer,2080.74
2,House,308,Summer,12586.29
6,House,1360,Summer,3567.94
3,House,1252,Summer,5747.29
2,House,2143,Rainy,1424.24
3,House,2287,Summer,11304.62
4,House,443,Winter,554.45
5,Flat,719,Winter,1791.71
2,Flat,1795,Winter,1761.37
3,Flat,1993,Summer,5518.5
5,House,316,Rainy,569.8
4,Flat,1914,Rainy,2223.78
2,Flat,2470,Winter,1356.77
1,Flat,1466,Summer,3603.02
5,Flat,1703,Summer,7108.54
5,Flat,1933,Winter,2651.6
6,House,696,Winter,1167.69
4,Flat,387,Rainy,3920.72
4,Flat,2351,Summer,3648.41
6,Flat,429,Rainy,2551.0
1,Flat,1035,Summer,83.69
1,House,1434,Winter,1274.47
1,Flat,1298,Summer,3354.99
3,Flat,634,Rainy,5548.65
6,Flat,1904,Summer,3668.33
4,House,1945,Winter,424.7
2,Flat,750,Summer,5576.19
5,House,657,Rainy,2163.24
5,Flat,2405,Rainy,2800.63
4,House,1363,Winter,939.76
6,Flat,409,Winter,3000.29
5,Flat,327,Summer,1300.97
3,House,2021,Summer,2012.29
4,House,1770,Rainy,610.02
4,House,504,Rainy,222.86
4,Flat,1744,Summer,9455.37
2,Flat,1614,Rainy,1191.03
1,House,1646,Rainy,933.31
2,House,2416,Winter,1776.76
1,House,2004,Summer,1404.45
5,Flat,2181,Winter,822.47
2,House,1712,Rainy,3256.5
2,House,2076,Summer,5010.76
6,Flat,727,Winter,1169.68
2,Flat,2436,Rainy,2670.61
1,Flat,1911,Summer,3834.28
3,House,984,Summer,1283.42
5,House,2141,Winter,879.6
2,Flat,636,Rainy,1585.62
5,House,2059,Rainy,2694.39
6,House,713,Summer,5451.96
2,House,828,Winter,594.92
3,Flat,1679,Rainy,900.32
5,Flat,2220,Rainy,932.3
4,House,651,Winter,2395.03
2,Flat,1845,Rainy,1692.55
2,Flat,499,Summer,692.52
3,House,2372,Summer,4515.3
1,Flat,1427,Summer,1682.01
3,Flat,969,Summer,1322.91
6,Flat,698,Rainy,1906.73
4,House,653,Winter,192.34
6,Flat,1227,Winter,532.93
5,House,2423,Summer,7974.77
1,Flat,1487,Winter,4034.57
4,House,1293,Rainy,7670.39
5,Flat,1429,Winter,4227.69
5,Flat,634,Winter,1709.94
5,Flat,1841,Winter,169.22
1,Flat,318,Winter,325.99
5,Flat,877,Rainy,2267.45
1,House,2306,Winter,454.61
1,House,2278,Summer,7299.69
6,House,750,Summer,2228.96
5,House,697,Winter,777.48
1,House,1281,Rainy,4180.31
5,House,2003,Winter,4801.46
4,House,737,Rainy,3919.96
1,House,1458,Winter,1513.0
6,Flat,1208,Winter,5949.66
5,House,1130,Winter,907.33
5,Flat,1294,Summer,1165.9
4,Flat,477,Winter,1613.69
2,House,2095,Rainy,4348.03
2,Flat,1588,Winter,686.39
3,Flat,2200,Winter,176.95
5,Flat,1410,Winter,3029.81
2,Flat,626,Winter,4217.33
5,Flat,629,Winter,254.4
5,Flat,2260,Rainy,533.82
2,Flat,578,Summer,639.47
1,House,627,Winter,3591.85
6,House,1938,Winter,4237.99
5,Flat,489,Summer,293.12
4,House,1125,Winter,1517.45
6,House,1078,Rainy,2604.43
4,House,1375,Summer,1625.85
5,House,591,Winter,1122.43
1,Flat,329,Winter,4833.63
6,Flat,1708,Winter,681.8
6,House,902,Winter,4138.97
3,Flat,2116,Rainy,4873.64
2,Flat,1546,Winter,810.98
1,House,1837,Winter,1174.63
4,Flat,670,Summer,10132.33
2,House,516,Summer,908.82
4,Flat,2097,Summer,2991.41
4,Flat,554,Winter,575.96
1,House,1998,Rainy,947.66
5,Flat,716,Rainy,2310.02
1,House,916,Rainy,2528.49
2,Flat,1598,Rainy,1573.27
5,House,502,Summer,1307.77
3,Flat,1796,Rainy,340.16
1,Flat,559,Summer,1392.59
1,House,2068,Rainy,2072.41
5,Flat,2192,Winter,925.34
4,Flat,1075,Summer,1100.75
3,House,2495,Winter,1442.66
5,Flat,1248,Summer,1705.0
1,House,2175,Summer,8525.22
5,House,2281,Summer,1663.0
6,Flat,1265,Winter,885.71
3,Flat,2174,Rainy,3468.11
5,House,1631,Summer,6961.4
6,Flat,397,Summer,282.56
4,Flat,912,Winter,3468.42
2,Flat,1187,Rainy,704.1
3,House,1262,Rainy,3740.37
1,House,1387,Rainy,1139.92
5,House,814,Winter,263.39
2,Flat,619,Winter,1098.49
1,House,1457,Rainy,322.75
2,House,1281,Rainy,4030.64
6,Flat,432,Winter,2425.02
5,House,2019,Winter,354.99
3,Flat,317,Rainy,1655.35
3,House,2020,Winter,357.6
6,Flat,1592,Rainy,5292.69
1,House,656,Rainy,12652.67
6,Flat,875,Rainy,325.18
5,House,672,Rainy,2227.22
5,House,2012,Rainy,2592.73
6,Flat,1494,Summer,92.29
2,House,2418,Summer,2387.36
4,Flat,887,Rainy,975.6
4,House,516,Rainy,794.68
